,Player,Team,Number,Position,Height,Weight,Last Attended,Country
0,Precious Achiuwa,NYK,5,F,6-8,243 lbs,Memphis,Nigeria
1,Steven Adams,HOU,12,C,6-11,265 lbs,Pittsburgh,New Zealand
2,Bam Adebayo,MIA,13,C-F,6-9,255 lbs,Kentucky,USA
3,Ochai Agbaji,TOR,30,G,6-5,215 lbs,Kansas,USA
4,Melvin Ajinca,DAL,,F,6-8,210 lbs,Saint-Quentin,France
5,James Akinjo,MIL,,G,6-1,190 lbs,Baylor,USA
6,Santi Aldama,MEM,7,F-C,7-0,215 lbs,Loyola-Maryland,Spain
7,Trey Alexander,DEN,20,G,6-4,185 lbs,Creighton,USA
8,Nickeil Alexander-Walker,MIN,9,G,6-5,205 lbs,Virginia Tech,Canada
9,Grayson Allen,PHX,8,G,6-4,198 lbs,Duke,USA
10,Jarrett Allen,CLE,31,C,6-9,243 lbs,Texas,USA
11,Jose Alvarado,NOP,15,G,6-0,179 lbs,Georgia Tech,USA
12,Kyle Anderson,GSW,1,F-G,6-9,230 lbs,UCLA,USA
13,Giannis Antetokounmpo,MIL,34,F,6-11,243 lbs,Filathlitikos,Greece
14,Thanasis Antetokounmpo,MIL,43,F,6-7,219 lbs,Panathinaikos,Greece
15,Cole Anthony,ORL,50,G,6-2,185 lbs,North Carolina,USA
16,OG Anunoby,NYK,8,F-G,6-7,240 lbs,Indiana,United Kingdom
17,Deni Avdija,POR,8,F,6-9,210 lbs,Maccabi Tel Aviv,Israel
18,Deandre Ayton,POR,2,C,7-0,247 lbs,Arizona,Bahamas
19,Udoka Azubuike,PHX,27,C-F,6-11,270 lbs,Kansas,Nigeria
20,Ibou Badji,POR,41,C,7-0,240 lbs,FC Barcelona,Senegal
21,Marvin Bagley III,WAS,35,F,6-10,235 lbs,Duke,USA
22,Patrick Baldwin Jr.,WAS,7,F,6-9,220 lbs,Wisconsin-Milwaukee,USA
23,LaMelo Ball,CHA,1,G,6-7,180 lbs,Illawarra,USA
24,Lonzo Ball,CHI,2,G,6-6,190 lbs,UCLA,USA
25,Mo Bamba,LAC,4,C,7-0,231 lbs,Texas,USA
26,Paolo Banchero,ORL,5,F,6-10,250 lbs,Duke,USA
27,Desmond Bane,MEM,22,G,6-5,215 lbs,TCU,USA
28,Dalano Banton,POR,5,F,6-8,204 lbs,Nebraska,Canada
29,Dominick Barlow,ATL,26,F,6-9,215 lbs,Overtime Elite,USA
30,Harrison Barnes,SAS,40,F,6-8,225 lbs,North Carolina,USA
31,Scottie Barnes,TOR,4,F-G,6-7,237 lbs,Florida State,USA
32,RJ Barrett,TOR,9,F-G,6-6,214 lbs,Duke,Canada
33,Charles Bassey,SAS,28,C-F,6-10,230 lbs,Western Kentucky,Nigeria
34,Emoni Bates,CLE,21,F,6-8,170 lbs,Eastern Michigan,USA
