Unnamed: 0,Player,Team,Number,Position,Height
0,PreciousAchiuwa,TOR,5,F,80
1,StevenAdams,MEM,4,C,83
2,BamAdebayo,MIA,13,C-F,81
3,OchaiAgbaji,UTA,30,G,77
4,SantiAldama,MEM,7,F-C,84
5,NickeilAlexander-Walker,MIN,9,G,77
6,GraysonAllen,MIL,12,G,76
7,JarrettAllen,CLE,31,C,81
8,JoseAlvarado,NOP,15,G,72
9,KyleAnderson,MIN,5,F-G,81
10,GiannisAntetokounmpo,MIL,34,F,84
11,ThanasisAntetokounmpo,MIL,43,F,79
12,ColeAnthony,ORL,50,G,75
13,O.G.Anunoby,TOR,3,F,79
15,D.J.Augustin,HOU,4,G,71
16,DeniAvdija,WAS,9,F,81
17,DeandreAyton,PHX,22,C,84
18,UdokaAzubuike,UTA,20,C-F,83
19,IbouBadji,POR,41,C,85
20,MarvinBagley III,DET,35,F,82
21,PatrickBaldwin Jr.,GSW,7,F,81
22,LaMeloBall,CHA,1,G,79
23,LonzoBall,CHI,2,G,78
24,MoBamba,LAL,12,C,84
25,PaoloBanchero,ORL,5,F,82
26,DesmondBane,MEM,22,G,77
27,DalanoBanton,TOR,45,F,79
28,DominickBarlow,SAS,26,F,81
29,HarrisonBarnes,SAC,40,F,80
30,ScottieBarnes,TOR,4,F,80
31,RJBarrett,NYK,9,F-G,78
32,WillBarton,TOR,1,G,77
33,CharlesBassey,SAS,28,C-F,81
34,KeitaBates-Diop,SAS,31,F,80
35,NicolasBatum,LAC,33,G-F,80
36,DariusBazley,PHX,55,F,81
37,BradleyBeal,WAS,3,G,76
38,MalikBeasley,LAL,5,G,76
39,MarJonBeauchamp,MIL,0,F,79
40,DavisBertans,DAL,44,F,82
41,PatrickBeverley,CHI,21,G,74
42,SaddiqBey,ATL,41,F,79
43,KhemBirch,SAS,24,C,80
44,GogaBitadze,ORL,88,C-F,83
45,BismackBiyombo,PHX,18,C,80
46,BuddyBoeheim,DET,27,F,78
47,BogdanBogdanovic,ATL,13,G,77
48,BojanBogdanovic,DET,44,F,79
49,BolBol,ORL,10,C-F,86
51,DevinBooker,PHX,1,G,77
52,BrandonBoston Jr.,LAC,4,G,78
53,ChrisBoucher,TOR,25,F-C,81
54,JamesBouknight,CHA,2,G,76
57,MalakiBranham,SAS,22,F,76
59,ChristianBraun,DEN,0,G,78
60,MikalBridges,BKN,1,G-F,78
61,OshaeBrissett,IND,12,F-G,79
62,MalcolmBrogdon,BOS,13,G,76
63,DillonBrooks,MEM,24,G-F,78
64,BruceBrown,DEN,11,G-F,76
65,JaylenBrown,BOS,7,G-F,78
66,KendallBrown,IND,10,G,79
70,TroyBrown Jr.,LAL,7,G-F,79
71,JalenBrunson,NYK,11,G,74
72,ThomasBryant,DEN,13,C-F,82
73,ReggieBullock,DAL,25,G-F,78
74,AlecBurks,DET,5,G,78
76,JaredButler,OKC,14,G,75
77,JimmyButler,MIA,22,F,79
78,JohnButler Jr.,POR,21,F,84
79,JamalCain,MIA,8,F,78
80,KentaviousCaldwell-Pope,DEN,5,G,77
82,VlatkoCancar,DEN,31,F,80
83,ClintCapela,ATL,15,C,82
84,VernonCarey Jr.,UTA,13,C,82
85,JevonCarter,MIL,5,G,73
86,WendellCarter Jr.,ORL,34,C-F,82
87,MichaelCarter-Williams,ORL,11,G,77
88,AlexCaruso,CHI,6,G,77
89,WillieCauley-Stein,HOU,0,C,84
90,JulianChampagnie,SAS,30,F,79
91,JustinChampagnie,BOS,99,G-F,78
93,MaxChristie,LAL,10,G,77
94,JoshChristopher,HOU,9,G,76
95,BrandonClarke,MEM,15,F,80
96,JordanClarkson,UTA,0,G,77
97,NicClaxton,BKN,33,C,83
98,AmirCoffey,LAC,7,G-F,79
99,JohnCollins,ATL,20,F-C,81
100,ZachCollins,SAS,23,F-C,83
102,MikeConley,MIN,10,G,73
103,PatConnaughton,MIL,24,G,77
104,XavierCooks,WAS,12,F,80
105,RobertCovington,LAC,23,F,79
106,TorreyCraig,PHX,0,F,79
107,JaeCrowder,MIL,99,F,78
109,CadeCunningham,DET,2,G,79
110,SethCurry,BKN,30,G,73
111,StephenCurry,GSW,30,G,74
112,DysonDaniels,NOP,11,G,79
113,AnthonyDavis,LAL,3,F-C,82
114,JohnnyDavis,WAS,1,G,76
115,TerenceDavis,SAC,3,G,76
116,JDDavison,BOS,20,G,73
117,DariusDays,HOU,5,F,79
118,DeMarDeRozan,CHI,11,G-F,78
119,DewayneDedmon,PHI,14,C,82
120,MatthewDellavedova,SAC,8,G,75
121,DonteDiVincenzo,GSW,0,G,76
122,MoussaDiabate,LAC,25,F,82
123,MamadiDiakite,CLE,21,F,81
124,HamidouDiallo,DET,6,G,77
125,GorguiDieng,SAS,41,C,82
126,OusmaneDieng,OKC,13,F,81
127,SpencerDinwiddie,BKN,26,G,77
128,LukaDoncic,DAL,77,F-G,79
130,LuguentzDort,OKC,5,G,76
131,AyoDosunmu,CHI,12,G,77
133,JeffDowtin Jr.,TOR,20,G,75
134,PJDozier,SAC,35,G-F,78
135,GoranDragic,MIL,31,G,76
136,AndreDrummond,CHI,3,C,83
137,ChrisDuarte,IND,3,G,77
138,DavidDuke Jr.,BKN,6,G,76
139,KrisDunn,UTA,11,G,75
140,KevinDurant,PHX,35,F,82
141,JalenDuren,DET,0,C,83
142,TariEason,HOU,17,F,80
143,AnthonyEdwards,MIN,1,G,76
144,KesslerEdwards,SAC,17,F,79
145,KeonEllis,SAC,23,G,75
146,JoelEmbiid,PHI,21,C-F,84
147,DrewEubanks,POR,24,F-C,82
148,BrunoFernando,ATL,0,F-C,82
149,DorianFinney-Smith,BKN,28,F,79
150,MalachiFlynn,TOR,22,G,73
151,SimoneFontecchio,UTA,16,F,79
153,TrentForrest,ATL,2,G,76
155,EvanFournier,NYK,13,G-F,78
156,De'AaronFox,SAC,5,G,75
157,MarkelleFultz,ORL,20,G,76
158,WenyenGabriel,LAL,35,F,81
159,DanielGafford,WAS,21,F-C,82
160,DaniloGallinari,BOS,8,F,82
161,DariusGarland,CLE,10,G,73
162,UsmanGaruba,HOU,16,F,80
163,LukaGarza,MIN,55,C,82
164,RudyGay,UTA,22,F-G,80
165,PaulGeorge,LAC,13,F,80
166,TajGibson,WAS,67,F,81
167,JoshGiddey,OKC,3,G,80
168,ShaiGilgeous-Alexander,OKC,2,G,78
169,AnthonyGill,WAS,16,F,80
170,CollinGillespie,DEN,21,G,73
172,RudyGobert,MIN,27,C,85
173,JordanGoodwin,WAS,7,G,75
174,AaronGordon,DEN,50,F,80
175,EricGordon,LAC,10,G,75
176,Devonte'Graham,SAS,4,G,73
177,JeramiGrant,POR,9,F,80
178,RaiQuanGray,BKN,0,F,79
179,AJGreen,MIL,20,G,77
180,DannyGreen,CLE,14,G,78
181,DraymondGreen,GSW,23,F,78
182,JaMychalGreen,GSW,1,F-C,81
183,JalenGreen,HOU,4,G,76
184,JavonteGreen,CHI,24,G,77
185,JeffGreen,DEN,32,F,80
186,JoshGreen,DAL,8,G,79
187,AJGriffin,ATL,14,F,78
188,BlakeGriffin,BOS,91,F,81
189,QuentinGrimes,NYK,6,G,77
190,RuiHachimura,LAL,28,F,80
191,TyreseHaliburton,IND,0,G,77
193,R.J.Hampton,DET,14,G,76
194,TimHardaway Jr.,DAL,11,G-F,77
195,JamesHarden,PHI,1,G,77
196,JadenHardy,DAL,3,G,75
197,RonHarper Jr.,TOR,8,F,77
198,MontrezlHarrell,PHI,5,F-C,79
199,GaryHarris,ORL,14,G,76
200,JoeHarris,BKN,12,G-F,78
201,KevonHarris,ORL,7,G,78
202,TobiasHarris,PHI,12,F,79
203,ShaquilleHarrison,LAL,0,G,76
204,JoshHart,NYK,3,G,76
205,IsaiahHartenstein,NYK,55,C-F,84
206,UdonisHaslem,MIA,40,F,79
207,SamHauser,BOS,30,F,79
208,JaxsonHayes,NOP,10,C-F,84
